new,role_type,track,company,ticker,industry,title,location,remote,nasdaq,confidence,active,posted,source,url
YES,intern,dsml,Turner & Townsend,,,Corporate Responsibility Data Analyst 4 Apprentice,"London, UK",,,0,YES,2026-07-30,Simplify Internships (Summer 2026),https://jobs.smartrecruiters.com/TurnerTownsend/744000140674514
YES,new_grad,dsml,Analog Devices,ADI,Technology,Associate Pricing Analyst - Pricing,"Burlington, MA | Dublin, Ireland",,YES,100,YES,2026-07-30,Simplify New Grad,https://analogdevices.wd1.myworkdayjobs.com/External/job/Ireland-Dublin/Associate-Analyst--Pricing_R264105
YES,new_grad,dsml,National Laboratory of the Rockies,,,Research Engineer,"Golden, CO",,,0,YES,2026-07-30,Simplify New Grad,https://nrel.wd5.myworkdayjobs.com/NLR/job/Golden-CO/Research-Engineer---Machine-learning-applications-to-power-system-operations_R14435
YES,new_grad,dsml,Everfox,,,Sales Business Intelligence Analyst,"Reston, VA",,,0,YES,2026-07-30,Simplify New Grad,https://evergreenix.wd1.myworkdayjobs.com/external-careers2/job/USA_VA_Herndon/Sales-Business-Intelligence-Analyst_JR500773
YES,new_grad,dsml,Dollar General,,,Media Network Insights Analyst,"Goodlettsville, TN",,,0,YES,2026-07-29,Simplify New Grad,https://careers.dollargeneral.com/jobs/365560?icims=1
YES,new_grad,dsml,DRW,,,Data Analyst - Global Markets and Equities,"Montreal, QC, Canada",,,0,YES,2026-07-29,Simplify New Grad,https://job-boards.greenhouse.io/drweng/jobs/8094311
YES,intern,dsml,Loop,,,Data Scientist Intern,"Toronto, ON, Canada",,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://ats.rippling.com/loop-careers/jobs/e016b693-7ce9-4dad-95ff-03b934fbd580
YES,intern,dsml,Arkema Global,,,Manufacturing Data Systems Intern,"Villanova, PA",,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://jobs.arkema.com/job/Radnor-Manufacturing-Data-Systems-Intern-Job-PA/1420491833/?ats=successfactors
YES,new_grad,dsml,Cetera Financial Group,,,AI Engineer,"Dallas, TX",,,0,YES,2026-07-29,Simplify New Grad,https://ebhu.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/6517
YES,intern,dsml,Dexterra Group,,,Coordinator AI & Data Systems Co-op,"Mississauga, ON, Canada",,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://jobs.smartrecruiters.com/Dexterra/744000140536634
YES,new_grad,dsml,Man Group,,,IDI Graduate Analyst,"London, UK",,,0,YES,2026-07-29,Simplify New Grad,https://job-boards.eu.greenhouse.io/mangroup/jobs/4672725101
YES,new_grad,dsml,Truist Bank,,,Data Scientist - Level 1 / Level 2,"Charlotte, NC | Atlanta, GA",,,0,YES,2026-07-29,Simplify New Grad,https://truist.wd1.myworkdayjobs.com/en-US/Careers/job/Charlotte-NC/Data-Scientist--Level-I---Level-II-_R0116103-1
YES,new_grad,dsml,CenterWell,,,Business Intelligence Engineer 2,Remote in USA,YES,,0,YES,2026-07-29,Simplify New Grad,https://humana.wd5.myworkdayjobs.com/centerwell_external_career_site/job/Remote-Nationwide/Business-Intelligence-Engineer-2_R-421290
YES,new_grad,dsml,KLA Corporation,KLAC,Technology,AI Engineer,"Milpitas, CA",,YES,100,YES,2026-07-29,Simplify New Grad,https://kla.wd1.myworkdayjobs.com/Search/job/Milpitas-CA/AI-engineer_2638674-1
YES,new_grad,dsml,ISS | Institutional Shareholder Services,,,Enterprise Data and Operations Analyst,"Norman, OK",,,0,YES,2026-07-29,Simplify New Grad,https://issgovernance.wd1.myworkdayjobs.com/isscareers/job/Norman-OK-US/Enterprise-Data-and-Operations-Analyst_JR_10203
YES,new_grad,dsml,Danaher Corporation,,,Associate Internal Service Engineer,"Chaska, MN | Roseville, MN | Minneapolis, MN",,,0,YES,2026-07-29,Simplify New Grad,https://danaher.wd1.myworkdayjobs.com/danaherjobs/job/Chaska-Minnesota-United-States/Associate-Internal-Service-Engineer---ONSITE_R1310917
YES,new_grad,dsml,Maersk,,,Supply Chain Data Analyst,"Delanco, NJ",,,0,YES,2026-07-29,Simplify New Grad,https://maersk.wd3.myworkdayjobs.com/maersk_careers/job/United-States-of-AmericaNew-JerseyCinnaminson08077/Supply-Chain-Data-Analyst---Cinnaminson--NJ_R188258-1
YES,intern,dsml,Euronext,,,Sales Analyst - Vie,"London, UK",,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://hrhub.wd3.myworkdayjobs.com/Euronext_Career_Page/job/London/Sales-Analyst--VIE-_R28184
YES,intern,dsml,Rockwell Automation,,,Applied AI Intern,"Austin, TX",,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://rockwellautomation.wd1.myworkdayjobs.com/External_Rockwell_Automation/job/Austin-Texas-United-States/Intern--Applied-AI_R26-5631-2
YES,intern,dsml,CVS Health,,,Analytics & Behavior Change - Engineering Undergrad - Conversion,NYC,,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://cvshealth.wd1.myworkdayjobs.com/Private_Postings_Intern_Conversion_ONLY/job/NY---New-York/Analytics---Behavior-Change---Engineering-Undergrad--Conversion-_R0991666
YES,intern,dsml,CVS Health,,,Analytics & Behavior Change – Data Science Grad - Conversion,NYC,,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://cvshealth.wd1.myworkdayjobs.com/Private_Postings_Intern_Conversion_ONLY/job/NY---New-York/Analytics---Behavior-Change---Data-Science-Grad--Conversion-_R0991627
YES,intern,dsml,Canadian Tire,,,AI Enablement Student,"Toronto, ON, Canada",,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://canadiantirecorporation.wd3.myworkdayjobs.com/Enterprise_External_Careers_Site/job/Toronto-ON/AI-Enablement-Student--4-months----Fall-2026_JR161998
YES,intern,dsml,Menasha Corporation,,,Supply Chain Analytics Intern,"Neenah, WI",,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://menasha.wd12.myworkdayjobs.com/menashacorp/job/Neenah-Wisconsin/Supply-Chain-Analytics-Intern_R14985
YES,intern,dsml,CVS Health,,,Analytics & Behavior Change – Engineering Grad - Conversion,NYC,,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://cvshealth.wd1.myworkdayjobs.com/Private_Postings_Intern_Conversion_ONLY/job/NY---New-York/Analytics---Behavior-Change---Engineering-Grad--Conversion-_R0991701
YES,intern,dsml,CVS Health,,,Analytics & Behavior Change - Data Science - Conversion,NYC,,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://cvshealth.wd1.myworkdayjobs.com/Private_Postings_Intern_Conversion_ONLY/job/NY---New-York/Analytics---Behavior-Change---Data-Science-Undergrad--Conversion-_R0991610
YES,new_grad,dsml,Lynker,,,Marine Sensor Data Scientist - AI/ML,"Galveston, TX | MCAS Cherry Point, NC | Miami, FL | Biloxi, MS | Panama City, FL",,,0,YES,2026-07-27,Simplify New Grad,https://careers-lynker.icims.com/jobs/1633/job?mobile=true&needsRedirect=false
YES,new_grad,dsml,Cenovus Energy,,,Downstream Business New Grad,"Calgary, AB, Canada",,,0,YES,2026-07-24,Simplify New Grad,https://cenovus.wd3.myworkdayjobs.com/careers/job/CA-AB-Calgary/New-Grad--Downstream-Business--June-2027--Calgary-_R-410695
YES,new_grad,dsml,Pennsylvania State University,,,Signal Processing Engineer,"State College, PA",,,0,YES,2026-07-04,Simplify New Grad,https://psu.wd1.myworkdayjobs.com/PSU_Staff/job/Penn-State-University-Park/Signal-Processing-Engineer_REQ_0000077400-1
YES,new_grad,dsml,Planet Technologies,,,Junior Data Scientist,"Washington, DC",,,0,YES,2026-04-13,Simplify New Grad,https://jobs.lever.co/planettechnologies/3a0d29bd-59a3-4326-b5ca-40e747708102/apply
YES,intern,dsml,Loblaw Companies,,,Analyst Co-op - Data Operations,"Brampton, ON, Canada",,,0,,2026-07-29,Simplify Internships (Summer 2026),https://myview.wd3.myworkdayjobs.com/paradox_careers/job/1-Presidents-Choice-Circle-Brampton-ON/Analyst--Data-Operations---Co-op-Student_R2000688374
YES,new_grad,dsml,TransUnion,,,Marketing Data Analyst,"Chicago, IL",,,0,,2026-07-23,Simplify New Grad,https://transunion.wd5.myworkdayjobs.com/en-US/TransUnion/job/Chicago-Illinois/Marketing-Data-Analyst_19041413-1
,intern,dsml,TikTok,,,Machine Learning Engineer Intern - Tiktok-Data-Search-Search Quality,"San Jose, CA",,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://lifeattiktok.com/search/7667690418804902149
,intern,dsml,Richemont,,,Sustainability Transformation Analyst Intern,"Bellevue, WA",,,0,YES,2026-07-29,Simplify Internships (Summer 2026),https://richemont.wd3.myworkdayjobs.com/richemont/job/BELLEVUE/Sustainability-Transformation-Analyst-Intern_JR132092
,intern,dsml,Cloudflare,,,Research Engineer Intern,"Austin, TX | London, UK",,,0,YES,2026-07-28,Simplify Internships (Summer 2026),https://boards.greenhouse.io/cloudflare/jobs/8089379
